obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('84',)",3773073032,14,3.533400059,3779218472,3779218544,3773073032,0,internal_timestamp,64.63899994,1564084232,33.75419998,0,8.281999588,1026.552186,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('85',)",3773073032,14,3.533400059,3779218472,3779218544,3773073032,0,internal_timestamp,64.63800049,1564084232,33.75400162,0,8.282099724,1026.552011,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('86',)",3773073032,14,3.533390045,3779218472,3779218544,3773073032,0,internal_timestamp,64.63999939,1564084232,33.75379944,0,8.28219986,1026.551847,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('87',)",3773073032,14,3.533380032,3779218472,3779218544,3773073032,0,internal_timestamp,64.64099884,1564084232,33.75360107,0,8.282299995,1026.551681,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('88',)",3773073032,14,3.533380032,3779218472,3779218544,3773073032,0,internal_timestamp,64.64499664,1564084232,33.75360107,1,8.282299995,1026.551699,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('89',)",3773073032,14,3.533370018,3779218472,3779218544,3773073032,0,internal_timestamp,64.64299774,1564084232,33.75350189,0,8.282400131,1026.551597,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('90',)",3773073032,14,3.533370018,3779218472,3779218544,3773073032,0,internal_timestamp,64.64499664,1564084232,33.75350189,0,8.282400131,1026.551606,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('91',)",3773073032,14,3.533380032,3779218472,3779218544,3773073032,0,internal_timestamp,64.64399719,1564084232,33.75360107,0,8.282299995,1026.551694,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('92',)",3773073032,14,3.533390045,3779218472,3779218544,3773073032,0,internal_timestamp,64.64600372,1564084232,33.75379944,0,8.282299995,1026.551859,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('93',)",3773073032,14,3.533400059,3779218472,3779218544,3773073032,0,internal_timestamp,64.64600372,1564084232,33.75400162,0,8.28219986,1026.552033,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('94',)",3773073033,14,3.533390045,3779218472,3779218544,3773073033,0,internal_timestamp,64.64299774,1564084233,33.75389862,0,8.28219986,1026.551938,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('95',)",3773073033,14,3.533380032,3779218472,3779218544,3773073033,0,internal_timestamp,64.64399719,1564084233,33.75379944,0,8.28219986,1026.551865,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('96',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.64700317,1564084233,33.75370026,0,8.28219986,1026.551801,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('97',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65000153,1564084233,33.75360107,0,8.28219986,1026.551737,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('98',)",3773073033,14,3.533360004,3779218472,3779218544,3773073033,0,internal_timestamp,64.64700317,1564084233,33.75350189,0,8.282299995,1026.55163,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('99',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.64800262,1564084233,33.7533989,0,8.282400131,1026.551539,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('100',)",3773073033,14,3.533360004,3779218472,3779218544,3773073033,0,internal_timestamp,64.65299988,1564084233,33.7533989,0,8.282400131,1026.551562,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('101',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65200043,1564084233,33.7533989,0,8.282400131,1026.551557,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('102',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65399933,1564084233,33.75350189,1,8.282400131,1026.551647,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('103',)",3773073033,14,3.533380032,3779218472,3779218544,3773073033,0,internal_timestamp,64.65299988,1564084233,33.75360107,0,8.282400131,1026.55172,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('104',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65299988,1564084233,33.75360107,0,8.282299995,1026.551736,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('105',)",3773073033,14,3.533370018,3779218472,3779218544,3773073033,0,internal_timestamp,64.65499878,1564084233,33.75350189,0,8.282299995,1026.551667,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('106',)",3773073033,14,3.533360004,3779218472,3779218544,3773073033,0,internal_timestamp,64.65699768,1564084233,33.7533989,0,8.282299995,1026.551595,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('107',)",3773073033,14,3.533360004,3779218472,3779218544,3773073033,0,internal_timestamp,64.65599823,1564084233,33.7533989,0,8.282299995,1026.551591,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
